participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.wealth,participant.comprehension_check,participant.comprehension_check1,participant.comprehension_check2,participant.manipulation_check,participant.human_check,participant.feedback,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.real_world_currency_per_point,session.config.participation_fee,session.config.name,deception.1.player.id_in_group,deception.1.player.role,deception.1.player.payoff,deception.1.player.comprehension_check1,deception.1.player.comprehension_check2,deception.1.player.human_check,deception.1.player.feedback,deception.1.group.id_in_subsession,deception.1.group.message,deception.1.group.choice,deception.1.subsession.round_number,fdeception.1.player.id_in_group,fdeception.1.player.role,fdeception.1.player.payoff,fdeception.1.player.comprehension_check1,fdeception.1.player.comprehension_check2,fdeception.1.player.human_check,fdeception.1.player.feedback,fdeception.1.group.id_in_subsession,fdeception.1.group.message,fdeception.1.group.choice,fdeception.1.subsession.round_number
1,4la4928a,,0,6,6,deception,PayoffThanks,2024-05-01 01:49:59.062505,1,,,6.0,,,,,,,,rjfe3g0f,,,,,0,1.0,0.0,deception,1,,6.0,1,1,1,No specific feedback,1,2,2,1,,,,,,,,,,,
2,qeey2slu,,0,6,6,deception,PayoffThanks,2024-05-01 01:50:00.505069,1,,,5.0,,,,,,,,rjfe3g0f,,,,,0,1.0,0.0,deception,2,,5.0,1,2,1,This was an interesting experiment about trust and decision-making. More guidance on the implications of the choices could enhance understanding.,1,2,2,1,,,,,,,,,,,
3,smezdbqs,,0,6,6,deception,PayoffThanks,2024-05-01 01:50:00.507963,1,,,6.0,,,,,,,,rjfe3g0f,,,,,0,1.0,0.0,deception,1,,6.0,2,1,1,"The experiment is intriguing, especially the decision-making process and the communication aspect. Would love to see the outcome and how messages influence decisions.",2,2,2,1,,,,,,,,,,,
4,mhcnuuay,,0,6,6,deception,PayoffThanks,2024-05-01 01:49:58.422082,1,,,5.0,,,,,,,,rjfe3g0f,,,,,0,1.0,0.0,deception,2,,5.0,1,2,1,No feedback,2,2,2,1,,,,,,,,,,,
5,8ayv3kfs,,0,6,6,deception,PayoffThanks,2024-05-01 01:49:58.892364,1,,,6.0,,,,,,,,rjfe3g0f,,,,,0,1.0,0.0,deception,1,,6.0,2,1,1,This was an interesting experiment. It would be helpful to know more about the decision-making process of Participant B.,3,2,2,1,,,,,,,,,,,
6,ybngx6r6,,0,6,6,deception,PayoffThanks,2024-05-01 01:49:59.067112,1,,,5.0,,,,,,,,rjfe3g0f,,,,,0,1.0,0.0,deception,2,,5.0,1,2,1,No specific feedback.,3,2,2,1,,,,,,,,,,,
7,s5ow8gwp,,0,6,6,deception,PayoffThanks,2024-05-01 01:49:58.891084,1,,,6.0,,,,,,,,rjfe3g0f,,,,,0,1.0,0.0,deception,1,,6.0,2,1,1,This was an interesting experiment about decision-making and influencing others. It might be helpful to know more about how our choices affect the outcomes directly.,4,2,2,1,,,,,,,,,,,
8,8ba8e1ib,,0,6,6,deception,PayoffThanks,2024-05-01 01:49:58.607177,1,,,5.0,,,,,,,,rjfe3g0f,,,,,0,1.0,0.0,deception,2,,5.0,1,2,1,No specific feedback.,4,2,2,1,,,,,,,,,,,
9,yvqz248d,,0,6,6,deception,PayoffThanks,2024-05-01 01:49:58.366652,1,,,6.0,,,,,,,,rjfe3g0f,,,,,0,1.0,0.0,deception,1,,6.0,1,1,1,No specific feedback.,5,2,2,1,,,,,,,,,,,
10,skatmwau,,0,6,6,deception,PayoffThanks,2024-05-01 01:49:58.634109,1,,,5.0,,,,,,,,rjfe3g0f,,,,,0,1.0,0.0,deception,2,,5.0,1,2,1,"The experiment was engaging and the decision-making process was well structured. However, more background information on how the points are determined could make decisions more informed.",5,2,2,1,,,,,,,,,,,
