participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.wealth,participant.comprehension_check,participant.comprehension_check1,participant.comprehension_check2,participant.manipulation_check,participant.human_check,participant.feedback,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.real_world_currency_per_point,session.config.participation_fee,session.config.name,deception.1.player.id_in_group,deception.1.player.role,deception.1.player.payoff,deception.1.player.comprehension_check1,deception.1.player.comprehension_check2,deception.1.player.human_check,deception.1.player.feedback,deception.1.group.id_in_subsession,deception.1.group.message,deception.1.group.choice,deception.1.subsession.round_number
1,7q01ung1,,0,6,6,deception,PayoffThanks,2024-03-24 19:31:27.073853,1,,,5.0,,,,,,,,d1197ov7,,,,,0,1.0,0.0,deception,1,,5.0,2,1,1,,1,1,1,1
2,p9x96lev,,0,6,6,deception,PayoffThanks,2024-03-24 19:31:26.032145,1,,,6.0,,,,,,,,d1197ov7,,,,,0,1.0,0.0,deception,2,,6.0,1,2,1,"The experiment was intriguing, and the decision-making process was thought-provoking. It would be interesting to know more about the outcomes and the rationale behind the other participant's message.",1,1,1,1
3,4m3l8t8l,,0,6,6,deception,PayoffThanks,2024-03-24 19:31:26.577368,1,,,6.0,,,,,,,,d1197ov7,,,,,0,1.0,0.0,deception,1,,6.0,1,1,1,No specific feedback.,2,2,2,1
4,y0cza1ib,,0,6,6,deception,PayoffThanks,2024-03-24 19:31:26.768870,1,,,5.0,,,,,,,,d1197ov7,,,,,0,1.0,0.0,deception,2,,5.0,1,2,1,The experiment was intriguing and offered an interesting perspective on trust and decision-making between anonymous participants.,2,2,2,1
5,vh02ttyz,,0,6,6,deception,PayoffThanks,2024-03-24 19:31:26.751290,1,,,6.0,,,,,,,,d1197ov7,,,,,0,1.0,0.0,deception,1,,6.0,1,1,1,,3,2,2,1
6,tflnilaw,,0,6,6,deception,PayoffThanks,2024-03-24 19:31:26.732257,1,,,5.0,,,,,,,,d1197ov7,,,,,0,1.0,0.0,deception,2,,5.0,1,2,1,"The instructions were clear, and it was an interesting exercise in decision-making. However, more background on how the options could potentially differ in value might enhance the decision-making process.",3,2,2,1
7,6sbvbggd,,0,6,6,deception,PayoffThanks,2024-03-24 19:31:27.515672,1,,,6.0,,,,,,,,d1197ov7,,,,,0,1.0,0.0,deception,1,,6.0,2,1,1,"The instructions were clear, and the design of the experiment was interesting. It would be fascinating to see the results and understand the decision-making process of both participants.",4,2,2,1
8,q29nfx7p,,0,6,6,deception,PayoffThanks,2024-03-24 19:31:26.853667,1,,,5.0,,,,,,,,d1197ov7,,,,,0,1.0,0.0,deception,2,,5.0,1,2,1,The experiment was engaging and made me think critically about decision making. I wonder if knowing more about the potential outcomes beforehand would alter participants' choices.,4,2,2,1
9,02romf3i,,0,6,6,deception,PayoffThanks,2024-03-24 19:31:28.219622,1,,,6.0,,,,,,,,d1197ov7,,,,,0,1.0,0.0,deception,1,,6.0,1,1,2,The experiment provided interesting insights into decision-making dynamics.,5,2,2,1
10,odsm0dm3,,0,6,6,deception,PayoffThanks,2024-03-24 19:31:26.906472,1,,,5.0,,,,,,,,d1197ov7,,,,,0,1.0,0.0,deception,2,,5.0,2,2,1,No specific feedback,5,2,2,1
1,5203ihdu,,0,6,6,deception,PayoffThanks,2024-03-24 19:33:15.584684,1,,,6.0,,,,,,,,lydl8g2y,,,,,0,1.0,0.0,deception,1,,6.0,1,1,1,This experiment was insightful in understanding decision-making in economic games and the impact of communication.,1,2,2,1
2,4jdhzf2i,,0,6,6,deception,PayoffThanks,2024-03-24 19:33:15.466471,1,,,5.0,,,,,,,,lydl8g2y,,,,,0,1.0,0.0,deception,2,,5.0,1,2,1,No specific feedback.,1,2,2,1
3,dexpw650,,0,6,6,deception,PayoffThanks,2024-03-24 19:33:15.568317,1,,,6.0,,,,,,,,lydl8g2y,,,,,0,1.0,0.0,deception,1,,6.0,2,1,1,"The instructions were clear, and it was an interesting experience to think about how to influence someone else's decision.",2,2,2,1
4,thxdeyg6,,0,6,6,deception,PayoffThanks,2024-03-24 19:33:15.793131,1,,,5.0,,,,,,,,lydl8g2y,,,,,0,1.0,0.0,deception,2,,5.0,2,2,1,The experiment was engaging and made me think about trust and decision making in a controlled environment.,2,2,2,1
5,eu362nft,,0,6,6,deception,PayoffThanks,2024-03-24 19:33:15.763441,1,,,5.0,,,,,,,,lydl8g2y,,,,,0,1.0,0.0,deception,1,,5.0,2,1,1,,3,1,1,1
6,swi8mrbf,,0,6,6,deception,PayoffThanks,2024-03-24 19:33:15.749702,1,,,6.0,,,,,,,,lydl8g2y,,,,,0,1.0,0.0,deception,2,,6.0,2,2,1,No specific feedback,3,1,1,1
7,vwoae6rq,,0,6,6,deception,PayoffThanks,2024-03-24 19:33:15.728696,1,,,6.0,,,,,,,,lydl8g2y,,,,,0,1.0,0.0,deception,1,,6.0,2,1,1,No specific feedback at this time.,4,2,2,1
8,7hpd4gxk,,0,6,6,deception,PayoffThanks,2024-03-24 19:33:16.024515,1,,,5.0,,,,,,,,lydl8g2y,,,,,0,1.0,0.0,deception,2,,5.0,1,2,1,No specific feedback,4,2,2,1
9,nhxfwkqy,,0,6,6,deception,PayoffThanks,2024-03-24 19:33:15.681011,1,,,6.0,,,,,,,,lydl8g2y,,,,,0,1.0,0.0,deception,1,,6.0,2,1,1,The experiment was an engaging way to introspect on my decision-making strategies in a simulated economic scenario. It would be interesting to see how the outcomes vary based on the messages sent and received.,5,2,2,1
10,ta3p2rgo,,0,6,6,deception,PayoffThanks,2024-03-24 19:33:15.707880,1,,,5.0,,,,,,,,lydl8g2y,,,,,0,1.0,0.0,deception,2,,5.0,1,2,2,No specific feedback,5,2,2,1
1,uqx56oph,,0,6,6,deception,PayoffThanks,2024-03-24 19:37:05.970831,1,,,5.0,,,,,,,,ikfkti9e,,,,,0,1.0,0.0,deception,1,,5.0,1,1,1,The instructions were clear and the decision-making process was interesting. It made me think about fairness and personal gain.,1,1,1,1
2,4yergd1e,,0,6,6,deception,PayoffThanks,2024-03-24 19:37:04.539156,1,,,6.0,,,,,,,,ikfkti9e,,,,,0,1.0,0.0,deception,2,,6.0,1,2,1,No specific feedback,1,1,1,1
3,55yeop9u,,0,6,6,deception,PayoffThanks,2024-03-24 19:37:06.005582,1,,,6.0,,,,,,,,ikfkti9e,,,,,0,1.0,0.0,deception,1,,6.0,2,1,1,,2,2,2,1
4,yk4eu371,,0,6,6,deception,PayoffThanks,2024-03-24 19:37:05.139945,1,,,5.0,,,,,,,,ikfkti9e,,,,,0,1.0,0.0,deception,2,,5.0,1,2,1,N/A,2,2,2,1
5,fpn1j2kd,,0,6,6,deception,PayoffThanks,2024-03-24 19:37:05.822692,1,,,6.0,,,,,,,,ikfkti9e,,,,,0,1.0,0.0,deception,1,,6.0,2,1,1,The experiment was intriguing. It presented an interesting dilemma between self-interest and the counterpart's interest.,3,2,2,1
6,dccktdga,,0,6,6,deception,PayoffThanks,2024-03-24 19:37:04.508724,1,,,5.0,,,,,,,,ikfkti9e,,,,,0,1.0,0.0,deception,2,,5.0,1,2,1,No feedback,3,2,2,1
7,2gl44rw7,,0,6,6,deception,PayoffThanks,2024-03-24 19:37:04.497103,1,,,5.0,,,,,,,,ikfkti9e,,,,,0,1.0,0.0,deception,1,,5.0,1,1,1,,4,1,1,1
8,h0whfh56,,0,6,6,deception,PayoffThanks,2024-03-24 19:37:05.133539,1,,,6.0,,,,,,,,ikfkti9e,,,,,0,1.0,0.0,deception,2,,6.0,1,2,1,No specific feedback,4,1,1,1
9,8hcqymlz,,0,6,6,deception,PayoffThanks,2024-03-24 19:37:05.063031,1,,,5.0,,,,,,,,ikfkti9e,,,,,0,1.0,0.0,deception,1,,5.0,1,1,1,,5,1,1,1
10,w30krz5l,,0,6,6,deception,PayoffThanks,2024-03-24 19:37:04.335674,1,,,6.0,,,,,,,,ikfkti9e,,,,,0,1.0,0.0,deception,2,,6.0,2,2,1,No specific feedback.,5,1,1,1
1,p85p71w1,,0,6,6,deception,PayoffThanks,2024-03-24 19:39:26.800045,1,,,6.0,,,,,,,,nm62ar7y,,,,,0,1.0,0.0,deception,1,,6.0,2,1,2,No feedback,1,2,2,1
2,9fgppa4m,,0,6,6,deception,PayoffThanks,2024-03-24 19:39:27.615398,1,,,5.0,,,,,,,,nm62ar7y,,,,,0,1.0,0.0,deception,2,,5.0,1,2,1,No specific feedback.,1,2,2,1
3,t4k6x66c,,0,6,6,deception,PayoffThanks,2024-03-24 19:39:26.777895,1,,,6.0,,,,,,,,nm62ar7y,,,,,0,1.0,0.0,deception,1,,6.0,1,1,1,No specific feedback,2,2,2,1
4,0zrcypso,,0,6,6,deception,PayoffThanks,2024-03-24 19:39:27.642778,1,,,5.0,,,,,,,,nm62ar7y,,,,,0,1.0,0.0,deception,2,,5.0,2,2,1,No specific feedback at this time.,2,2,2,1
5,wbj11037,,0,6,6,deception,PayoffThanks,2024-03-24 19:39:28.467576,1,,,5.0,,,,,,,,nm62ar7y,,,,,0,1.0,0.0,deception,1,,5.0,1,1,1,No specific feedback.,3,1,1,1
6,o592ufv0,,0,6,6,deception,PayoffThanks,2024-03-24 19:39:27.881220,1,,,6.0,,,,,,,,nm62ar7y,,,,,0,1.0,0.0,deception,2,,6.0,1,2,1,No specific feedback.,3,1,1,1
7,xf1uimvy,,0,6,6,deception,PayoffThanks,2024-03-24 19:39:27.667955,1,,,5.0,,,,,,,,nm62ar7y,,,,,0,1.0,0.0,deception,1,,5.0,1,1,1,No specific feedback; the experiment was an interesting experience on decision making and influence.,4,1,1,1
8,xve272e0,,0,6,6,deception,PayoffThanks,2024-03-24 19:39:26.904705,1,,,6.0,,,,,,,,nm62ar7y,,,,,0,1.0,0.0,deception,2,,6.0,1,2,1,No specific feedback.,4,1,1,1
9,tmbu0h1a,,0,6,6,deception,PayoffThanks,2024-03-24 19:39:28.443945,1,,,5.0,,,,,,,,nm62ar7y,,,,,0,1.0,0.0,deception,1,,5.0,1,1,1,"The experiment was interesting, and it provided insight into decision-making and influence in anonymous interactions.",5,1,1,1
10,n47baakd,,0,6,6,deception,PayoffThanks,2024-03-24 19:39:27.893766,1,,,6.0,,,,,,,,nm62ar7y,,,,,0,1.0,0.0,deception,2,,6.0,1,2,1,No specific feedback,5,1,1,1
1,oyi9bxya,,0,6,6,deception,PayoffThanks,2024-03-24 19:41:03.998377,1,,,6.0,,,,,,,,harbid1j,,,,,0,1.0,0.0,deception,1,,6.0,1,1,1,No feedback,1,2,2,1
2,pet7nu45,,0,6,6,deception,PayoffThanks,2024-03-24 19:41:03.690079,1,,,5.0,,,,,,,,harbid1j,,,,,0,1.0,0.0,deception,2,,5.0,1,2,1,The advice from the counterpart was helpful in making my decision. An explanation of how the payoffs are calculated might provide clearer insights for future decisions.,1,2,2,1
3,c55ej6mw,,0,6,6,deception,PayoffThanks,2024-03-24 19:41:03.822625,1,,,6.0,,,,,,,,harbid1j,,,,,0,1.0,0.0,deception,1,,6.0,1,1,1,No specific feedback,2,2,2,1
4,1vh0sxl6,,0,6,6,deception,PayoffThanks,2024-03-24 19:41:03.790631,1,,,5.0,,,,,,,,harbid1j,,,,,0,1.0,0.0,deception,2,,5.0,1,2,1,No specific feedback,2,2,2,1
5,fj9yf437,,0,6,6,deception,PayoffThanks,2024-03-24 19:41:03.942509,1,,,6.0,,,,,,,,harbid1j,,,,,0,1.0,0.0,deception,1,,6.0,2,1,1,No feedback,3,2,2,1
6,csksph7f,,0,6,6,deception,PayoffThanks,2024-03-24 19:41:04.102873,1,,,5.0,,,,,,,,harbid1j,,,,,0,1.0,0.0,deception,2,,5.0,1,2,1,,3,2,2,1
7,vxozdb9f,,0,6,6,deception,PayoffThanks,2024-03-24 19:41:03.882730,1,,,6.0,,,,,,,,harbid1j,,,,,0,1.0,0.0,deception,1,,6.0,2,1,1,No feedback,4,2,2,1
8,oehk62yn,,0,6,6,deception,PayoffThanks,2024-03-24 19:41:03.884110,1,,,5.0,,,,,,,,harbid1j,,,,,0,1.0,0.0,deception,2,,5.0,2,2,1,This was an interesting experiment. It would be insightful to learn more about the rationale behind the decisions made by participants.,4,2,2,1
9,yzb3qjw4,,0,6,6,deception,PayoffThanks,2024-03-24 19:41:03.753755,1,,,5.0,,,,,,,,harbid1j,,,,,0,1.0,0.0,deception,1,,5.0,1,1,1,No specific feedback,5,1,1,1
10,ezcloup6,,0,6,6,deception,PayoffThanks,2024-03-24 19:41:04.000870,1,,,6.0,,,,,,,,harbid1j,,,,,0,1.0,0.0,deception,2,,6.0,1,2,1,The experiment was engaging and challenged my decision-making skills without knowing the actual monetary values. It would be interesting to see how the decisions made impacted the final outcomes.,5,1,1,1
1,f3klafav,,0,6,6,deception,PayoffThanks,2024-03-24 19:42:31.518305,1,,,6.0,,,,,,,,wwtt8xb8,,,,,0,1.0,0.0,deception,1,,6.0,1,1,1,,1,2,2,1
2,ljzczxvm,,0,6,6,deception,PayoffThanks,2024-03-24 19:42:31.581506,1,,,5.0,,,,,,,,wwtt8xb8,,,,,0,1.0,0.0,deception,2,,5.0,1,2,1,No feedback,1,2,2,1
3,dgyvrnfd,,0,6,6,deception,PayoffThanks,2024-03-24 19:42:31.944642,1,,,5.0,,,,,,,,wwtt8xb8,,,,,0,1.0,0.0,deception,1,,5.0,1,1,1,No feedback,2,1,1,1
4,apeujelx,,0,6,6,deception,PayoffThanks,2024-03-24 19:42:31.779964,1,,,6.0,,,,,,,,wwtt8xb8,,,,,0,1.0,0.0,deception,2,,6.0,1,2,1,,2,1,1,1
5,akg0sew3,,0,6,6,deception,PayoffThanks,2024-03-24 19:42:32.945705,1,,,5.0,,,,,,,,wwtt8xb8,,,,,0,1.0,0.0,deception,1,,5.0,1,1,2,The experiment was intriguing and provided insight into decision-making and influence.,3,1,1,1
6,ua503p3l,,0,6,6,deception,PayoffThanks,2024-03-24 19:42:32.032321,1,,,6.0,,,,,,,,wwtt8xb8,,,,,0,1.0,0.0,deception,2,,6.0,1,2,1,"The experiment was engaging, and the decision-making process was intriguing. However, more information on how the other participant's choices influenced the outcome would be beneficial.",3,1,1,1
7,kvnxgzkh,,0,6,6,deception,PayoffThanks,2024-03-24 19:42:31.595145,1,,,6.0,,,,,,,,wwtt8xb8,,,,,0,1.0,0.0,deception,1,,6.0,1,1,1,No feedback,4,2,2,1
