participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.wealth,participant.comprehension_check,participant.comprehension_check1,participant.comprehension_check2,participant.manipulation_check,participant.human_check,participant.feedback,participant.part_id,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.participation_fee,session.config.name,session.config.real_world_currency_per_point,mftrust.1.player.id_in_group,mftrust.1.player.role,mftrust.1.player.payoff,mftrust.1.player.wealth,mftrust.1.player.comprehension_check,mftrust.1.player.manipulation_check,mftrust.1.player.altruism,mftrust.1.player.trust,mftrust.1.player.reciprocity,mftrust.1.player.negative_reciprocity,mftrust.1.player.human_check,mftrust.1.player.feedback,mftrust.1.group.id_in_subsession,mftrust.1.group.message,mftrust.1.group.sent_amount,mftrust.1.group.sent_back_amount,mftrust.1.subsession.round_number,mftrust.2.player.id_in_group,mftrust.2.player.role,mftrust.2.player.payoff,mftrust.2.player.wealth,mftrust.2.player.comprehension_check,mftrust.2.player.manipulation_check,mftrust.2.player.altruism,mftrust.2.player.trust,mftrust.2.player.reciprocity,mftrust.2.player.negative_reciprocity,mftrust.2.player.human_check,mftrust.2.player.feedback,mftrust.2.group.id_in_subsession,mftrust.2.group.message,mftrust.2.group.sent_amount,mftrust.2.group.sent_back_amount,mftrust.2.subsession.round_number,mftrust.3.player.id_in_group,mftrust.3.player.role,mftrust.3.player.payoff,mftrust.3.player.wealth,mftrust.3.player.comprehension_check,mftrust.3.player.manipulation_check,mftrust.3.player.altruism,mftrust.3.player.trust,mftrust.3.player.reciprocity,mftrust.3.player.negative_reciprocity,mftrust.3.player.human_check,mftrust.3.player.feedback,mftrust.3.group.id_in_subsession,mftrust.3.group.message,mftrust.3.group.sent_amount,mftrust.3.group.sent_back_amount,mftrust.3.subsession.round_number
1,9mqrt9wn,,0,30,30,mftrust,Thanks,2024-05-10 10:46:29.812259,1,,,420.0,420.0,,,,,,,rPXs 3hTc,0g1um5kn,,,,,0,0.0,mftrust,1.0,1,,135.0,0.0,,,,,,,,,1,I look forward to working together to maximize our mutual gains. Let's aim for a fair and beneficial outcome for both of us.,70.0,105.0,1,1,,140.0,0.0,,,,,,,,,1,,80.0,120.0,2,1,,145.0,0.0,3,1,1,3,2,4,1,The experiment was engaging and offered insights into decision-making processes. It would be interesting to understand more about the strategies of both roles.,1,,90.0,135.0,3
2,767021ge,,0,30,30,mftrust,Thanks,2024-05-10 10:46:30.146585,1,,,360.0,360.0,,,,,,,C40U W3xe,0g1um5kn,,,,,0,0.0,mftrust,1.0,2,,105.0,0.0,,,,,,,,,1,I look forward to working together to maximize our mutual gains. Let's aim for a fair and beneficial outcome for both of us.,70.0,105.0,1,2,,120.0,0.0,,,,,,,,,1,,80.0,120.0,2,2,,135.0,0.0,3,2,2,3,1,4,1,This was a fascinating experiment. It would be interesting to see if different multipliers or investment options would alter the strategy and cooperation levels between participants.,1,,90.0,135.0,3
3,x15fjndm,,0,30,30,mftrust,Thanks,2024-05-10 10:46:30.042455,1,,,595.0,595.0,,,,,,,8zCJ L6uU,0g1um5kn,,,,,0,0.0,mftrust,1.0,1,,175.0,0.0,,,,,,,,,2,I aim to make decisions that will benefit both of us through fair and effective management of the investments. Looking forward to a successful collaboration.,75.0,150.0,1,1,,200.0,0.0,,,,,,,,,2,,80.0,180.0,2,1,,220.0,0.0,3,1,1,2,1,3,1,"This was an insightful experiment, highlighting interesting aspects of trust and decision-making in economic interactions.",2,,90.0,210.0,3
4,tngt0vbg,,0,30,30,mftrust,Thanks,2024-05-10 10:46:31.145497,1,,,195.0,195.0,,,,,,,HS9r hYZ5,0g1um5kn,,,,,0,0.0,mftrust,1.0,2,,75.0,0.0,,,,,,,,,2,I aim to make decisions that will benefit both of us through fair and effective management of the investments. Looking forward to a successful collaboration.,75.0,150.0,1,2,,60.0,0.0,,,,,,,,,2,,80.0,180.0,2,2,,60.0,0.0,3,2,2,3,2,4,1,"This was an insightful experiment, highlighting the complexities of trust and financial decision-making between unknown parties.",2,,90.0,210.0,3
5,1zfj1sxu,,0,30,30,mftrust,Thanks,2024-05-10 10:46:30.054725,1,,,420.0,420.0,,,,,,,AoPn yUzR,0g1um5kn,,,,,0,0.0,mftrust,1.0,1,,135.0,0.0,,,,,,,,,3,I believe we can both benefit greatly from this investment. I'm committed to ensuring a fair return on your investment based on performance.,70.0,105.0,1,1,,140.0,0.0,,,,,,,,,3,,80.0,120.0,2,1,,145.0,0.0,3,1,1,2,1,4,1,"The experiment was a fascinating exploration of trust, negotiation, and reciprocal behavior in financial decisions. It would be interesting to see how different initial messages from the manager influence investment decisions.",3,,90.0,135.0,3
6,g1osy2a2,,0,30,30,mftrust,Thanks,2024-05-10 10:46:28.405151,1,,,360.0,360.0,,,,,,,H5Hi thHX,0g1um5kn,,,,,0,0.0,mftrust,1.0,2,,105.0,0.0,,,,,,,,,3,I believe we can both benefit greatly from this investment. I'm committed to ensuring a fair return on your investment based on performance.,70.0,105.0,1,2,,120.0,0.0,,,,,,,,,3,,80.0,120.0,2,2,,135.0,0.0,3,2,2,3,1,4,1,The experiment was engaging and provided interesting insights into decision-making between managers and investors. It would be interesting to see if outcomes differ with a different mix of participants or in a real-world setting.,3,,90.0,135.0,3
7,hp4nro4w,,0,30,30,mftrust,Thanks,2024-05-10 10:46:29.180563,1,,,420.0,420.0,,,,,,,uIrl 95xR,0g1um5kn,,,,,0,0.0,mftrust,1.0,1,,135.0,0.0,,,,,,,,,4,"I aim to work towards our mutual benefit, striving for the best possible outcome for both of us. Let's achieve great results together.",70.0,105.0,1,1,,140.0,0.0,,,,,,,,,4,,80.0,120.0,2,1,,145.0,0.0,3,1,1,2,2,3,2,"The experiment was well-structured and insightful, though it would benefit from clearer communication about the roles and mechanics involved.",4,,90.0,135.0,3
8,ew9d6r05,,0,30,30,mftrust,Thanks,2024-05-10 10:46:29.517801,1,,,360.0,360.0,,,,,,,fjMT AnR4,0g1um5kn,,,,,0,0.0,mftrust,1.0,2,,105.0,0.0,,,,,,,,,4,"I aim to work towards our mutual benefit, striving for the best possible outcome for both of us. Let's achieve great results together.",70.0,105.0,1,2,,120.0,0.0,,,,,,,,,4,,80.0,120.0,2,2,,135.0,0.0,3,2,2,3,2,4,1,"This experiment provided interesting insights into decision-making and trust building between anonymous parties. It might be beneficial to examine the direct communication's effect in more depth, potentially controlling for message tone or content.",4,,90.0,135.0,3
9,ai6coy4f,,0,30,30,mftrust,Thanks,2024-05-10 10:46:28.422211,1,,,220.0,220.0,,,,,,,qkbj 8UX2,0g1um5kn,,,,,0,0.0,mftrust,1.0,1,,110.0,0.0,,,,,,,,,5,"Hi there! I will always 10% return on your investment. This means that if you invest 100, I will pay you a dividend of 110.",100.0,110.0,1,1,,110.0,0.0,,,,,,,,,5,,100.0,110.0,2,1,,0.0,0.0,3,1,3,4,2,3,1,"The experiment was engaging and provided insights into decision-making in uncertain scenarios. However, better communication about the risks involved with each round's investment could improve the experience.",5,,100.0,0.0,3
10,7156r4y1,,0,30,30,mftrust,Thanks,2024-05-10 10:46:57.635388,1,,,680.0,680.0,,,,,,,ILba Quri,0g1um5kn,,,,,0,0.0,mftrust,1.0,2,,190.0,0.0,,,,,,,,,5,"Hi there! I will always 10% return on your investment. This means that if you invest 100, I will pay you a dividend of 110.",100.0,110.0,1,2,,190.0,0.0,,,,,,,,,5,,100.0,110.0,2,2,,300.0,0.0,3,2,3,4,3,1,2,I fooled it!,5,,100.0,0.0,3
