participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.wealth,participant.comprehension_check,participant.comprehension_check1,participant.comprehension_check2,participant.manipulation_check,participant.human_check,participant.feedback,participant.part_id,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.name,session.config.real_world_currency_per_point,session.config.participation_fee,mftrust.1.player.id_in_group,mftrust.1.player.role,mftrust.1.player.payoff,mftrust.1.player.wealth,mftrust.1.player.comprehension_check,mftrust.1.player.manipulation_check,mftrust.1.player.human_check,mftrust.1.player.feedback,mftrust.1.group.id_in_subsession,mftrust.1.group.message,mftrust.1.group.sent_amount,mftrust.1.group.sent_back_amount,mftrust.1.subsession.round_number,mftrust.2.player.id_in_group,mftrust.2.player.role,mftrust.2.player.payoff,mftrust.2.player.wealth,mftrust.2.player.comprehension_check,mftrust.2.player.manipulation_check,mftrust.2.player.human_check,mftrust.2.player.feedback,mftrust.2.group.id_in_subsession,mftrust.2.group.message,mftrust.2.group.sent_amount,mftrust.2.group.sent_back_amount,mftrust.2.subsession.round_number,mftrust.3.player.id_in_group,mftrust.3.player.role,mftrust.3.player.payoff,mftrust.3.player.wealth,mftrust.3.player.comprehension_check,mftrust.3.player.manipulation_check,mftrust.3.player.human_check,mftrust.3.player.feedback,mftrust.3.group.id_in_subsession,mftrust.3.group.message,mftrust.3.group.sent_amount,mftrust.3.group.sent_back_amount,mftrust.3.subsession.round_number
1,15b3tgc0,,0,30,30,mftrust,Thanks,2024-05-09 06:51:39.677707,1,,,585.0,585.0,,,,,,,CGXb OzS0,1gto96kv,,,,,0,mftrust,1.0,0.0,1,,175.0,0.0,,,,,1,"I'm committed to maximizing our mutual gains. Trust and cooperation are key, so I plan to return a fair share of the profits we make together.",75.0,150.0,1,1,,200.0,0.0,,,,,1,,80.0,180.0,2,1,,210.0,0.0,3,1,1,"The experiment was intriguing, and it was interesting to see how trust developed over time with the returns from the manager. A suggestion would be to provide more insight into how the manager made their decisions.",1,,85.0,195.0,3
2,fbvfu5gs,,0,30,30,mftrust,Thanks,2024-05-09 06:51:40.124298,1,,,195.0,195.0,,,,,,,GLE5 gwXO,1gto96kv,,,,,0,mftrust,1.0,0.0,2,,75.0,0.0,,,,,1,"I'm committed to maximizing our mutual gains. Trust and cooperation are key, so I plan to return a fair share of the profits we make together.",75.0,150.0,1,2,,60.0,0.0,,,,,1,,80.0,180.0,2,2,,60.0,0.0,3,2,1,The experiment was engaging and offered insights into trust-building dynamics in investment scenarios. It would be interesting to understand more about the decision-making strategies of the investors as well.,1,,85.0,195.0,3
3,m7133s7u,,0,30,30,mftrust,Thanks,2024-05-09 06:51:39.629092,1,,,419.0,419.0,,,,,,,ltc7 8gBH,1gto96kv,,,,,0,mftrust,1.0,0.0,1,,137.0,0.0,,,,,2,Looking forward to working together to maximize our points!,75.0,112.0,1,1,,140.0,0.0,,,,,2,,80.0,120.0,2,1,,142.0,0.0,3,1,1,"The experiment was insightful, particularly in understanding the dynamics of trust in financial decisions. It would be interesting to see if the results would vary with a larger sample size or different initial conditions.",2,,85.0,127.0,3
4,aq3iepnb,,0,30,30,mftrust,Thanks,2024-05-09 06:51:39.951088,1,,,361.0,361.0,,,,,,,7Mxh JpOW,1gto96kv,,,,,0,mftrust,1.0,0.0,2,,113.0,0.0,,,,,2,Looking forward to working together to maximize our points!,75.0,112.0,1,2,,120.0,0.0,,,,,2,,80.0,120.0,2,2,,128.0,0.0,3,2,2,The experiment was engaging and gave insights into decision-making and trust-building between investors and managers. A suggestion would be to provide feedback or interactions after each round to understand the decision-making process better.,2,,85.0,127.0,3
5,2a53w8t8,,0,30,30,mftrust,Thanks,2024-05-09 06:51:39.962833,1,,,390.0,390.0,,,,,,,5vMq IWbe,1gto96kv,,,,,0,mftrust,1.0,0.0,1,,125.0,0.0,,,,,3,Let's work together to ensure we both benefit maximally from this experiment.,50.0,75.0,1,1,,130.0,0.0,,,,,3,,60.0,90.0,2,1,,135.0,0.0,3,1,1,The experiment was engaging and provided insights into investment strategies and decision-making. It would be interesting to know more about the strategies employed by other participants.,3,,70.0,105.0,3
6,2lwsir46,,0,30,30,mftrust,Thanks,2024-05-09 06:51:41.489305,1,,,270.0,270.0,,,,,,,qzbe BfJc,1gto96kv,,,,,0,mftrust,1.0,0.0,2,,75.0,0.0,,,,,3,Let's work together to ensure we both benefit maximally from this experiment.,50.0,75.0,1,2,,90.0,0.0,,,,,3,,60.0,90.0,2,2,,105.0,0.0,3,2,1,The game provided intriguing insights into decision-making strategies between managers and investors. It would be interesting to see how different initial messages from the manager influence investment amounts.,3,,70.0,105.0,3
7,wr21fht2,,0,30,30,mftrust,Thanks,2024-05-09 06:51:41.408687,1,,,419.0,419.0,,,,,,,atpM CqOi,1gto96kv,,,,,0,mftrust,1.0,0.0,1,,137.0,0.0,,,,,4,I am committed to ensuring a mutually beneficial partnership. Let's work together to maximize our returns.,75.0,112.0,1,1,,140.0,0.0,,,,,4,,80.0,120.0,2,1,,142.0,0.0,3,1,2,The experiment was engaging and provided insight into decision-making in investment scenarios. It would be interesting to see if the outcomes would significantly vary with different multiplier values or investment options.,4,,85.0,127.0,3
8,j4ku9pvz,,0,30,30,mftrust,Thanks,2024-05-09 06:51:37.821235,1,,,361.0,361.0,,,,,,,x1zu Kqeb,1gto96kv,,,,,0,mftrust,1.0,0.0,2,,113.0,0.0,,,,,4,I am committed to ensuring a mutually beneficial partnership. Let's work together to maximize our returns.,75.0,112.0,1,2,,120.0,0.0,,,,,4,,80.0,120.0,2,2,,128.0,0.0,3,2,1,The experiment was engaging and offered insightful reflections on decision-making in investment scenarios. It would be interesting to see the statistics of how different pairs have managed their investments and dividends.,4,,85.0,127.0,3
9,ayr5yb7t,,0,30,30,mftrust,Thanks,2024-05-09 06:51:37.590260,1,,,220.0,220.0,,,,,,,qeYD Ubav,1gto96kv,,,,,0,mftrust,1.0,0.0,1,,110.0,0.0,,,,,5,"Hi. If you send me an investment 100, I will return 110. I will always return 10 % on top of what you sent.",100.0,110.0,1,1,,110.0,0.0,,,,,5,,100.0,110.0,2,1,,0.0,0.0,3,1,1,"In future experiments, it might be helpful to ensure clearer communication about expectations for round-to-round behavior and potential consequences of strategic decision-making.",5,,100.0,0.0,3
10,iaae04gz,,0,30,30,mftrust,Thanks,2024-05-09 06:52:04.580443,1,,,680.0,680.0,,,,,,,78bz Qtj5,1gto96kv,,,,,0,mftrust,1.0,0.0,2,,190.0,0.0,,,,,5,"Hi. If you send me an investment 100, I will return 110. I will always return 10 % on top of what you sent.",100.0,110.0,1,2,,190.0,0.0,,,,,5,,100.0,110.0,2,2,,300.0,0.0,3,2,2,I fooled it!,5,,100.0,0.0,3
