participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.wealth,participant.comprehension_check,participant.comprehension_check1,participant.comprehension_check2,participant.manipulation_check,participant.human_check,participant.feedback,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.fake_participant,session.config.report_other_wealth,session.config.real_world_currency_per_point,session.config.participation_fee,session.config.name,honesty.1.player.id_in_group,honesty.1.player.role,honesty.1.player.payoff,honesty.1.player.pay,honesty.1.player.wealth,honesty.1.player.wealth_other,honesty.1.player.true_amount,honesty.1.player.reported_amount,honesty.1.player.comprehension_check1,honesty.1.player.comprehension_check2,honesty.1.player.human_check,honesty.1.player.feedback,honesty.1.group.id_in_subsession,honesty.1.subsession.round_number,fhonesty.1.player.id_in_group,fhonesty.1.player.role,fhonesty.1.player.payoff,fhonesty.1.player.pay,fhonesty.1.player.wealth,fhonesty.1.player.wealth_other,fhonesty.1.player.true_amount,fhonesty.1.player.reported_amount,fhonesty.1.player.comprehension_check1,fhonesty.1.player.comprehension_check2,fhonesty.1.player.human_check,fhonesty.1.player.feedback,fhonesty.1.group.id_in_subsession,fhonesty.1.subsession.round_number
1,v65syez4,,0,4,4,honesty,PayoffThanks,2024-04-30 17:11:44.474246,1,,,0.0,,,,,,,,ds2o04ik,,,,,0,0,1,1.0,0.0,honesty,1,,0.0,2050,2050,0,4200,6000,1,1,1,No specific feedback,1,1,,,,,,,,,,,,,,
2,v72q0i4s,,0,4,4,honesty,PayoffThanks,2024-04-30 17:11:43.790004,1,,,0.0,,,,,,,,ds2o04ik,,,,,0,0,1,1.0,0.0,honesty,2,,0.0,1150,1150,0,5100,6000,1,1,1,No specific feedback.,1,1,,,,,,,,,,,,,,
3,a2u3y9p5,,0,4,4,honesty,PayoffThanks,2024-04-30 17:13:14.845283,1,,,0.0,,,,,,,,ds2o04ik,,,,,0,0,1,1.0,0.0,honesty,3,,0.0,2250,2250,0,4000,6000,2,1,1,,1,1,,,,,,,,,,,,,,
4,8z4x3lyw,,0,4,4,honesty,PayoffThanks,2024-04-30 17:11:43.646796,1,,,0.0,,,,,,,,ds2o04ik,,,,,0,0,1,1.0,0.0,honesty,4,,0.0,2150,2150,0,4100,6000,1,1,1,,1,1,,,,,,,,,,,,,,
5,4ppl0cnx,,0,4,4,honesty,PayoffThanks,2024-04-30 17:11:43.820975,1,,,0.0,,,,,,,,ds2o04ik,,,,,0,0,1,1.0,0.0,honesty,5,,0.0,1450,1450,0,4800,6000,1,1,1,,1,1,,,,,,,,,,,,,,
6,cko09zc8,,0,4,4,honesty,PayoffThanks,2024-04-30 17:11:43.982341,1,,,0.0,,,,,,,,ds2o04ik,,,,,0,0,1,1.0,0.0,honesty,6,,0.0,350,350,0,5900,6000,2,1,1,The experiment was intriguing. I appreciated the decision-making aspect and how it stimulated strategic thinking. More variation in scenarios and clearer explanations could further improve participant understanding and engagement.,1,1,,,,,,,,,,,,,,
7,i00j2o8t,,0,4,4,honesty,PayoffThanks,2024-04-30 17:11:43.775545,1,,,0.0,,,,,,,,ds2o04ik,,,,,0,0,1,1.0,0.0,honesty,7,,0.0,1800,1800,0,4450,6000,2,1,1,,1,1,,,,,,,,,,,,,,
8,69s7l4ze,,0,4,4,honesty,PayoffThanks,2024-04-30 17:11:43.816430,1,,,0.0,,,,,,,,ds2o04ik,,,,,0,0,1,1.0,0.0,honesty,8,,0.0,700,700,0,5550,6000,1,1,1,The experiment was intuitive and the decision-making process was engaging. I appreciate scenarios that require a balance of strategy and risk management.,1,1,,,,,,,,,,,,,,
9,uo316wr0,,0,4,4,honesty,PayoffThanks,2024-04-30 17:11:43.666261,1,,,0.0,,,,,,,,ds2o04ik,,,,,0,0,1,1.0,0.0,honesty,9,,0.0,450,450,0,5800,6000,2,1,1,No specific feedback.,1,1,,,,,,,,,,,,,,
10,2a2jr61u,,0,4,4,honesty,PayoffThanks,2024-04-30 17:11:43.659464,1,,,0.0,,,,,,,,ds2o04ik,,,,,0,0,1,1.0,0.0,honesty,10,,0.0,300,300,0,5950,6000,1,1,1,No specific feedback,1,1,,,,,,,,,,,,,,
