participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.wealth,participant.comprehension_check,participant.comprehension_check1,participant.comprehension_check2,participant.manipulation_check,participant.human_check,participant.feedback,participant.part_id,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.participation_fee,session.config.real_world_currency_per_point,session.config.name,mftrust.1.player.id_in_group,mftrust.1.player.role,mftrust.1.player.payoff,mftrust.1.player.wealth,mftrust.1.player.comprehension_check,mftrust.1.player.manipulation_check,mftrust.1.player.human_check,mftrust.1.player.feedback,mftrust.1.group.id_in_subsession,mftrust.1.group.message,mftrust.1.group.sent_amount,mftrust.1.group.sent_back_amount,mftrust.1.subsession.round_number,mftrust.2.player.id_in_group,mftrust.2.player.role,mftrust.2.player.payoff,mftrust.2.player.wealth,mftrust.2.player.comprehension_check,mftrust.2.player.manipulation_check,mftrust.2.player.human_check,mftrust.2.player.feedback,mftrust.2.group.id_in_subsession,mftrust.2.group.message,mftrust.2.group.sent_amount,mftrust.2.group.sent_back_amount,mftrust.2.subsession.round_number,mftrust.3.player.id_in_group,mftrust.3.player.role,mftrust.3.player.payoff,mftrust.3.player.wealth,mftrust.3.player.comprehension_check,mftrust.3.player.manipulation_check,mftrust.3.player.human_check,mftrust.3.player.feedback,mftrust.3.group.id_in_subsession,mftrust.3.group.message,mftrust.3.group.sent_amount,mftrust.3.group.sent_back_amount,mftrust.3.subsession.round_number
1,ezbtmncv,,0,30,30,mftrust,Thanks,2024-05-06 15:07:05.976495,1,,,430.0,430.0,,,,,,,Y6Pv KxaW,bdmdei36,,,,,0,0.0,1.0,mftrust,1,,135.0,0.0,,,,,1,"I aim for fair play. I intend to distribute profits equitably, ensuring we both benefit. Let's collaborate for mutual success.",70.0,105.0,1,1,,145.0,0.0,,,,,1,,90.0,135.0,2,1,,150.0,0.0,3,1,2,The experiment was engaging and offered insight into decision-making and trust. It would be interesting to know the criteria for the manager's decisions and whether different strategies significantly affect the outcome.,1,,100.0,150.0,3
2,lcc9lh5u,,0,30,30,mftrust,Thanks,2024-05-06 15:07:05.581740,1,,,390.0,390.0,,,,,,,rLZp YP9X,bdmdei36,,,,,0,0.0,1.0,mftrust,2,,105.0,0.0,,,,,1,"I aim for fair play. I intend to distribute profits equitably, ensuring we both benefit. Let's collaborate for mutual success.",70.0,105.0,1,2,,135.0,0.0,,,,,1,,90.0,135.0,2,2,,150.0,0.0,3,2,1,The experiment was engaging and provided insightful observations on decision-making processes in investment scenarios. It would be interesting to see how variations in the investment multiplier affect decisions.,1,,100.0,150.0,3
3,wp07slgx,,0,30,30,mftrust,Thanks,2024-05-06 15:07:06.307974,1,,,419.0,419.0,,,,,,,1Z9n Nt2H,bdmdei36,,,,,0,0.0,1.0,mftrust,1,,137.0,0.0,,,,,2,I am committed to ensuring we both end up with more points by the end of this experiment. I plan to manage our resources wisely and return a fair share of any profits. Looking forward to a successful partnership!,75.0,112.0,1,1,,140.0,0.0,,,,,2,,80.0,120.0,2,1,,142.0,0.0,3,1,1,The experiment was engaging and provided interesting insights into trust and decision-making between different roles. It would be interesting to see if results vary significantly with a larger sample size and different scenarios.,2,,85.0,127.0,3
4,fifnou52,,0,30,30,mftrust,Thanks,2024-05-06 15:07:05.726552,1,,,361.0,361.0,,,,,,,GXgv YuoO,bdmdei36,,,,,0,0.0,1.0,mftrust,2,,113.0,0.0,,,,,2,I am committed to ensuring we both end up with more points by the end of this experiment. I plan to manage our resources wisely and return a fair share of any profits. Looking forward to a successful partnership!,75.0,112.0,1,2,,120.0,0.0,,,,,2,,80.0,120.0,2,2,,128.0,0.0,3,2,1,"The experiment was engaging and offered insightful perspectives on the dynamics between investors and managers, highlighting the importance of trust and strategy in financial decisions.",2,,85.0,127.0,3
5,tmcj69ap,,0,30,30,mftrust,Thanks,2024-05-06 15:07:14.243410,1,,,545.0,545.0,,,,,,,2trR 6LZY,bdmdei36,,,,,0,0.0,1.0,mftrust,1,,175.0,0.0,,,,,3,Let's collaborate to maximize our total points and increase our chances of winning the Amazon vouchers. I believe in fair play and promise to distribute the profits fairly based on your investment.,75.0,150.0,1,1,,180.0,0.0,,,,,3,,80.0,160.0,2,1,,190.0,0.0,3,1,1,The experiment was intriguing and provided insights into decision-making processes in economic games. It would be interesting to see how different messages from managers influence investor behavior.,3,,90.0,180.0,3
6,8gswpnfu,,0,30,30,mftrust,Thanks,2024-05-06 15:07:05.207796,1,,,245.0,245.0,,,,,,,vDiv i0k2,bdmdei36,,,,,0,0.0,1.0,mftrust,2,,75.0,0.0,,,,,3,Let's collaborate to maximize our total points and increase our chances of winning the Amazon vouchers. I believe in fair play and promise to distribute the profits fairly based on your investment.,75.0,150.0,1,2,,80.0,0.0,,,,,3,,80.0,160.0,2,2,,90.0,0.0,3,2,2,"No specific feedback, the experiment was clear and well-structured.",3,,90.0,180.0,3
7,r4z8v2bx,,0,30,30,mftrust,Thanks,2024-05-06 15:07:09.712582,1,,,420.0,420.0,,,,,,,03rZ RbXp,bdmdei36,,,,,0,0.0,1.0,mftrust,1,,135.0,0.0,,,,,4,I am committed to ensuring a fair and profitable collaboration for both of us. Looking forward to a successful partnership.,70.0,105.0,1,1,,140.0,0.0,,,,,4,,80.0,120.0,2,1,,145.0,0.0,3,1,2,,4,,90.0,135.0,3
8,9613a5j9,,0,30,30,mftrust,Thanks,2024-05-06 15:07:15.311875,1,,,360.0,360.0,,,,,,,DOfO cYE7,bdmdei36,,,,,0,0.0,1.0,mftrust,2,,105.0,0.0,,,,,4,I am committed to ensuring a fair and profitable collaboration for both of us. Looking forward to a successful partnership.,70.0,105.0,1,2,,120.0,0.0,,,,,4,,80.0,120.0,2,2,,135.0,0.0,3,2,1,The experiment was engaging and provided interesting insights into decision-making processes in economic interactions. It would be interesting to see if results would differ with larger stakes or varied conditions.,4,,90.0,135.0,3
9,urj6fhaf,,0,30,30,mftrust,Thanks,2024-05-06 15:07:16.320195,1,,,390.0,390.0,,,,,,,ZOox x7r5,bdmdei36,,,,,0,0.0,1.0,mftrust,1,,125.0,0.0,,,,,5,I aim to maximize our mutual benefits. Let's work together for the best possible outcome.,50.0,75.0,1,1,,130.0,0.0,,,,,5,,60.0,90.0,2,1,,135.0,0.0,3,1,2,The experiment was engaging and the outcomes seemed logical based on the investments made. It would be interesting to know more about how the multiplier effect was calculated and if the manager's decisions followed a specific algorithm or pattern.,5,,70.0,105.0,3
10,yuvouoxt,,0,30,30,mftrust,Thanks,2024-05-06 15:07:06.212015,1,,,270.0,270.0,,,,,,,xer5 iTNf,bdmdei36,,,,,0,0.0,1.0,mftrust,2,,75.0,0.0,,,,,5,I aim to maximize our mutual benefits. Let's work together for the best possible outcome.,50.0,75.0,1,2,,90.0,0.0,,,,,5,,60.0,90.0,2,2,,105.0,0.0,3,2,1,The experiment was engaging and provided insightful perspectives on decision-making in investment scenarios. It would be interesting to see more variations of this experiment with different economic conditions and more players involved.,5,,70.0,105.0,3
