n,teffect_true,teffect_slack_claimed,teffect_slack_claimed_round,true_teffect_lb,true_teffect_ub,slack_claimed_teffect_lb,slack_claimed_teffect_ub,slack_claimed_round_teffect_lb,slack_claimed_round_teffect_ub
1,-0.025,-0.025,0,-0.07953417573598792,0.005534175735987974,-0.046984370179130944,0.025282562403827896,-0.009984354761603725,0.01569622729614079
1,-0.025,-0.05,0,-0.04069548719761236,0.04469548719761236,-0.07567152097488743,-0.01616358623259904,-0.001689440422186576,0.014570779687507638
1,-0.025,-0.075,0,-0.04553621044650128,0.039536210446501276,-0.06660657720046897,-0.006935300243039927,-0.01841841687905683,0.009038907799798775
1,-0.025,-0.1,0,-0.09902694791638991,-0.012973052083610069,-0.10522463595416365,-0.04603722662585927,-0.011400988516961101,0.012199193733334108
1,-0.05,-0.025,0,-0.1224029576386628,-0.03759704236133724,-0.06420957324566667,0.013395198226460726,-0.010815256502225656,0.024549137520967847
1,-0.05,-0.05,0,-0.04373789209124146,0.04173789209124146,-0.06863541051598522,-0.021203008725460038,-0.006844462615022907,0.01113608108959421
1,-0.05,-0.075,0,-0.07631341874769751,0.00831341874769756,-0.10024184299778197,-0.050125304836622225,-0.0034251043790710428,0.015961111586285902
1,-0.05,-0.1,0,-0.07634418477079821,0.00834418477079827,-0.11626391997853569,-0.03280344515534401,-0.002647697843551431,0.021564891471152838
1,-0.075,-0.025,0,-0.06106201729238647,0.02306201729238644,-0.05535679628724459,-0.006930844105775984,-0.007505760854905619,0.015044301395753919
1,-0.075,-0.05,0,-0.08668140585466347,-0.005318594145336503,-0.07142391625109047,-0.013455924513080298,-0.006278613825120981,0.010752387736469488
1,-0.075,-0.075,0,-0.0787357190710323,0.004735719071032228,-0.07802239802514181,-0.013720049594500322,-0.009476266268861697,0.00618492684259567
1,-0.075,-0.1,0,-0.12987255716279344,-0.0461274428372065,-0.08796722056207326,-0.041716696254397244,3.9320431497892345e-4,0.0063737745909458335
1,-0.1,-0.025,0,-0.1482118030291306,-0.06578819697086938,-0.04907280324596148,0.01323763825094644,-0.014312162044452658,0.008853612544816302
1,-0.1,-0.05,0,-0.14321844185979454,-0.06078155814020543,-0.04283453857469348,0.026022992847120948,-0.019014679520226885,0.008130203658252646
